Person Name,VIAF ID,Aliases
Robert Welsted,28439325,Robert Welsted
Anthony Hammond,28498001,Anthony Hammond
Joseph Browne,28501721,Joseph Browne
John Clayton,28538306,John Clayton
Charles Pratt,28546230,Charles Pratt
William Browne,28571923,William Brown; William Browne
Andreas von Gundelsheimer,28600475,Andreas von Gundelsheimer
John Darker,28611323,John Darker
Henry Petty,28625627,Henry Petty
Robert James Petre,29366429,Lord Petre; Robert James Petre
Godfrey Boyle,29391602,Godfrey Boyle
Henry Plumptre,29408637,Dr Plumptre; Dr. Plumptree; Henry Plumptre
Maurice Thompson,29436338,Maurice Thompson
Walker painter,29463840,Walker painter; Walker
Claude Sallier,29524057,Claude Sallier
Sir Thomas More,29541174,Sir Thomas Moore; Sr. Thomas Moore
Thomas Hearne,29543710,Thomas Hearne; Tho. Hearne
Johann Ernst Grabe,29556453,Johann Ernst Grabe
Charles Godfrey Woide,29557778,Charles Godfrey Woide
Samuel Garth,29564062,Samuel Garth
Urban Hiarne,29567630,Urban Hiarne
Joseph Nicholas Delisle,29571577,Joseph Nicholas Delisle; Joseph Nicholas De Lisle
JeanPaul Bignon,29581678,Jean-Paul Bignon
John Tillotson,29588767,John Tillotson
Samuel Pepys,29602261,Samuel Pepys; Sam. Pepys; Mr. Pepys
Ismael Boulliau,29630623,Ismael Bullialdus; Monsieur Bullialdus; Ismael Boulliau
James Jurin,29688630,James Jurin
Francis Lodwick,29861558,Francis Lodwik; Francis Lodwick
Richard Norwood,29878974,Richard Norwood
Charles Rogers,29880157,Charles Rogers
Edward Vernon,29881324,Edward Vernon
Johann Jakob Wetstein,29882803,Johann Jakob Wetstein
Frederick Calvert,29889230,Frederick Calvert
George Waldron,29897872,George Waldron
Daniel Coxe,29912212,Daniel Coxe
John Colson,29921691,John Colson
John Obadiah Justamond,29928757,John Obadiah Justamond
Hendrick van Roonhuyse,29937454,Hendrick van Roonhuyse; Henry Van Roonhuyse
Giovanni Castiglione,30288706,Giovanni Francesco Mauro Melchiorre Salvemini di Castiglione
William Hudson,30316052,William Hudson
Theodore Charles,30328710,Theodore Charles
William Bentinck,20407456,William Bentinck; Mr. Bentinck
Johann Wurzelbau,30465849,Johann Philipp von Wurzelbau; Johanne Phil Wurtzelbaur
Andrew Mitchell,30760894,Andrew Mitchell
Robert Sawyer Herbert,30955592,Robert Sawyer Herbert
Thomas Hayter,30958060,Thomas Hayter
John Hough,30964985,John Hough
Richard Jones,30989953,Richard Jones
Thomas Glover,31358660,Thomas Glover
Thomas Hill,31867735,Thomas Hill
George Smyth,31872278,George Smyth
Charles Stanhope,31891705,Charles Stanhope
Richard Corbet,31918479,Richard Corbet
William Cowper,31987109,Mr Cowper; William Cowper
Erasmus Bartholin,31992524,Erasmus Bartholin
James Cook,31994819,James Cook
John Graunt,32062949,John Graunt
Dr. Hobbs,,Dr. Hobbs
Robert Hooke,32063971,Dr Hook; Dr. Hook; Mr Robert Hook; Mr. Hook; Mr. Robert Hook; Robert Hooke
Hieronymous David Gaubius,32074997,Hieronymous David Gaubius
James Bruce,32094803,James Bruce
Jean-Baptiste Denis,32094842,Jean-Baptiste Denis; M. Denis
Conyers Middleton,32149754,Conyers Middleton
Benjamin Hoadly,32209934,Benjamin Hoadly
John Allen,32334540,John Allen; John Alleyn
John Morton,32339606,Mr Morton; Mr. Morton; John Morton; Mort.; Mort
Matthew Duane,32394705,Matthew Duane
Alexander Stuart,32430927,Alexander Stuart; Dr Stuart; Dr. Stuart
John Anderson,32795252,John Anderson
Carl Reinhold Berch,32808369,Carl Reinhold Berch
Cromwell Mortimer,32901076,Cromwell Mortimer; Dr Mortimer; Dr Mortimore; Dr. Mortimer; C. Mortimer; Cr. Mortimer; Cr: Mortimer; Mortimer
Zachary Pearce,32909717,Zachary Pearce
Temple Stanyan,33200802,Temple Stanyan
Richard Wroe,33432761,Richard Wroe; Rich. Wroe
Henry David Erskine,33534300,Henry David Erskine
John Alstroemer,33543491,John Alstroemer
Henry Hoghton,34020534,Henry Hoghton
Anthony Grey,34314416,Anthony Grey
John Glen King,34324257,John Glen King
John West,34358601,John West
Conrad Van Beuningen,34447226,Conrad Van Beuningen
John Locke,34459614,John Locke; Mr. Locke
Edmund Pitt,34466316,Edmund Pitt
Lord Montacute,,Lord Montacutes; Lord Montagu
Lorenzo Magalotti,34478273,Lorenzo Magalotti; Laurentium Magalotti
Johann Daniel Schoepflin,34487398,Johann Daniel Schoepflin
Robert Molesworth,34492536,Robert Molesworth
Giuseppe Degli Aromatari,34497153,Josephus de Aromatariis; Giuseppe Degli Aromatari
Oliver Cromwell,34498004,Olivarius; Oliver Cromwell; Oli: Cromwell; Oli. Cromwel; Cromwell’s; Oliver Cromwell’s; Olivers; Olivarius Protector. (vid Cromwell.)
Claude Cat,34498275,Claude Nicholas Le Cat
Pierre Bouguer,34523593,Pierre Bouguer
Giovanni Battista Passeri,34553612,Giovanni Battista Passeri
Balthasar Becker,34592037,Balthasar Becker
Carl Linnaeus,34594730,Carl Linnaeus
Antoine Deidier,34606296,Antoine Deidier; Dr. Deidier
John Chardin,34661678,John Chardin
Dr Huntington,34684157,Dr Huntington; Dr. Huntington
Giacomo Bartolommeo Beccari,34724361,Giacomo Bartolommeo Beccari
Frederich Saxony,34745882,Frederich 3rd Duke of Saxony; Frederich the 3d. Duke of Saxony
John Zephaniah Holwell,34758978,John Zephaniah Holwell
James Petiver,34799386,James Petiver; Petiver; Mr Petiver; Mr Pettiver; Mr. James Petiver; Mr. Petiver; Pet.; Pet
Thomas Povey,34801124,Mr. Povey; Thomas Povey
Roger Long,34847427,Roger Long
Thomas Nettleton,34852109,Thomas Nettleton
Earl Marshal,34883804,Earl Marshal
Henry Howard,,Henry Howard
David Rittenhouse,35252598,David Rittenhouse
Jonas Moore,35260631,Jonas Moore
William Houstoun,35393071,William Houstoun; William Houstoun; Mr Houstoun; Mr. Houstoun
Stephen Gray,35396839,Mr Gray; Stephen Gray; Mr. Ste Gray
Edward Rudge,35516825,Edward Rudge
Charles Hamilton,35615600,Charles Hamilton
Carl Gyllenborg,35658353,Carl Gyllenborg
William Stanley,35858164,William Stanley
Francis Wollaston,35919756,Francis Wollaston
Sholto Charles Douglas,36007034,Sholto Charles Douglas
Charles Lyttelton,36030044,Charles Lyttelton
Eliab Harvey,36451287,Eliab Harvey
Wills Hill,36478052,Wills Hill
Thomas Cave,36750583,Thomas Cave
John Chesshyre,36772863,John Chesshyre
Alexander Stanhope,36793577,Alexander Stanhope
Daniel Wray,36794995,Daniel Wray
Edward Buckly,36850442,Edward Buckly; Mr. Edward Buckly
Francesco Torti,36908965,Francesco Torti
Bernard Belidor,36914355,Bernard Forest de Belidor
Georges Louis Leclerc,36915547,Georges Louis Leclerc
Horace Saussure,36924377,Horace Benedict de Saussure
Francois Voltaire,36925746,Francois Marie Aroyet de Voltaire
William Whiston,36927363,William Whiston
Philip Miller,36936358,Mr Millar; Mr. Philipp Miller; Mr. Millar; Philip Miller
Miller,,Miller
Charles Churchill,36938051,Charles Churchill
Roger Joseph Boscovich,36938235,Roger Joseph Boscovich
John Joshua Kirby,36956972,John Joshua Kirby
Dampier,36972348,Dampier; Mr. Dampier
John Bartram,24697168,John Bartram; Mr Bartram; Mr. Bartram; Dr Bartram; Dr. Bartram
John Gauden,36981134,John Gauden
Joseph Gaertner,36987534,Joseph Gaertner
William Windham,37052502,William Windham
John Cullum,37105940,John Cullum
George Keate,37120846,George Keate
Jacques Cassini,37217127,Jacques Cassini
Dr. Brickell,37254774,Dr. Brickell
M Capeller,37255105,Mauritius Antonius Cappeler; Maurice Antonio de Capeller
Griffith Hughes,37258937,Griffith Hughes
John Ingenhousz,37260075,John Ingenhousz
James Carkesse,37261652,James Carkesse
Edward Waterhouse,37262673,Edward Waterhouse
William Maitland,37263479,William Maitland
Jeremiah Milles,37264221,Jeremiah Milles
James Vernon,37286784,James Vernon
John Machin,37695659,John Machin
Theodore Haak,37699007,Theodore Haak
August Quirinus Rivinus,37711731,August Quirinus Rivinus
Charles Watson-Wentworth,37728104,Charles Watson-Wentworth
Christopher Hatton,37729288,Christopher Hatton
Mary Somerset,37818720,Mary Somerset; Dutchesse of Beaufort; her Grace the Dutchesse of Beaufort
Thomas Hyde,37848733,Thomas Hyde
Henry Frederick William,38370228,Henry Frederick William
John Oliver,58973149,John Oliver; Oliver; oliver; Olivar
Sr Streynsham Master,38372101,Sr Streynsham Master
Lucius Brien,38409870,Lucius Henry O'Brien
Robert Hoblyn1,38446370,Robert Hoblyn
Pierre Lyonet,39214638,Pierre Lyonet
James Annesley,39226665,James Annesley
John Canton,39231370,John Canton
Philips Glover,39234119,Philips Glover
Samuel Lisle,39248876,Samuel Lisle
John Dee,39386049,John Dee
Henry Oldenburg,39399338,Henry Oldenburg; H. O.
Sigebertus Haverkamp,39399735,Sigebertus Haverkamp
Jean Louis Petit,39403638,Jean Louis Petit
Mr. Petyt,,Mr. Petyt
David Hartley,39428787,David Hartley
Johann Segner,39446070,Johann Andreas von Segner
Antonio Schinella Conti,39448641,M. l' Abbe ContiÂ; Antonio Schinella Conti
Ralph Cudworth,39466716,Ralph Cudworth
James Gregory,39475242,James Gregorie; James Gregory
Claude Aubri,39494028,Claude Aubri
Thomas Smith,39603961,Thomas Smith; Tho. Smith
Henry Fletcher,39651058,Henry Fletcher
Georg Dionysius Ehret,39671650,Georg Dionysius Ehret
Adair Crawford,39717532,Adair Crawford
Nathaniel Johnston,39724695,Nathaniel Johnston
Edward Barry,39731051,Edward Barry
Daines Barrington,40159225,Daines Barrington
William Cheselden,40161749,W. Cheselden; Mr. Cheselden; William Cheselden
John Wollaston,95698910,Wollaston; Woolaston; Woollaston
Thomas Anson,40274712,Thomas Anson
Justinian Isham,40577414,Justinian Isham
Thomas Fuller,40795740,Thomas Fuller
Charles Cadogan,41706359,Charles Cadogan; Ld Cadogan; Cadogan; Lord Cadogan
Mr Johnson,41722742,Mr Johnson; Mr. Johnson; Mr. Johnson
Melchior De Ruusscher,41800554,Melchior De Ruusscher
John Mayow,41828866,John Mayow
Pierre Corneille,41838293,Corneille
René Descartes,41838958,Renatus Descartes; René Descartes
Anthony Ashley Cooper,41846508,Anthony Ashley Cooper
George Villiers,41858327,George Villiers
Dr. Kempfer,41858358,Dr Kempfer; Dr. Kempfer; Kempfer; Dr. Kaempfer
Earl of Arundell,41868983,Earl of Arundell; Lord Arundell; Arundelian; Lord Arundells
Queen Elizabeth I,,"Queen Elizabeth I; Queen Elizabeths; Queen Elizabeth; Queen Elizabeth's; Elizabeth, Queen; Elizabeth. Queen; Q. Elizabeth"
Elizabeth Blackwell,,Elizabeth Blackwell; Elizb. Blackwell
George Anson,41893590,George Anson
John Banister,41918047,John Banister
Thomas Browne,41925299,Sr. Thomas Brown; Sr. Tho. Brown; Sr. Thomas Brown; Sr. Tho. Brown's
Sr Streynsham Masters,,Sr. Streynsham Masters
Pierre Isaac Poissonnier,41935257,Pierre Isaac Poissonnier
William Hunter,41937557,William Hunter
Francis Vernon,41961937,Francis Vernon
George Wheler,41961971,George Wheler
Seth Ward,41998972,Seth Ward
Nicolas Robert,42090768,Nicolas Robert; Robert
AB Blosse Bloteling,42112130,AB Blosse Bloteling
Emanuel osta,42182403,Emanuel Mendes da Costa
John Lowthorp,42183257,J. Lowthorp; John Lowthorp
Francis Hutchinson,42183901,Francis Hutchinson
Thomas Firmin,42187109,Thomas Firmin
John Horsley,42187630,John Horsley; Mr. Horsley
David van Royen,42594905,David van Royen
Jean Richer,42617767,Jean Richer; Monsieur Richelt
John Fryer,42649535,John Fryer
Philip Yorke,42680007,Philip Yorke
Johann Georg Steigertahl,42692762,Dr Steigertahl; Dr. Steigertahl; Dr. Steigerthall; Dr. Steigestahl; Johann Georg Steigertahl
Valentin Andreas Moellenbrock,42777269,Dr Molimbrochius; Valentin Andreas Moellenbrock
Joannes Dolaeus,42784511,Joannes Dolaeus
Johann Eberhard Rau,42972779,Johann Eberhard Rau
Philip Carteret Webb,43011325,Philip Carteret Webb
William Coward,43242841,William Coward
Francis Pemberton,43267973,Francis Pemberton
Edward Milward,43334764,Edward Milward
John Hely-Hutchinson,43858028,John Hely-Hutchinson
Anders Spole,43919918,D. Andreas Spole; Anders Spole
Richard Hale,44158892,Richard Hale
William Hamill,44159026,William Hamill
Evelyn Pierrepont,44247227,Evelyn Pierrepont
Bernard Siegfried Albinus,44289907,Bernard Siegfried Albinus
George Jeffreys,44291859,George Jeffreys; Chancellor Jeffries
James Stuart,44317198,James Stuart
Charles Lloyd,44318307,Charles Lloyd
George Savile,44335185,George Savile
Thomas Sydenham,44357385,Thoma Sydenham; Thomas Sydenham
Henri Monceau,44358141,Henri Louis Duhamel du Monceau
Edward Waring,44377383,Edward Waring
Dr Hoffman,44383224,Dr Hoffman; Dr. Hoffman; Friedrich Hoffmann
Thomas Parker,44383269,Thomas Parker
Jacob Serenius,44546029,Jacob Serenius
Jean Huber,44570672,Mr Hubert; Mr. Hubert
Henry Clinton,44572787,Henry Fiennes Pelham Clinton
John Caswell,44648006,John Caswell
Thomas Kirke,44648925,Thomas Kirke; Tho. Kirke
David Papillon,44652408,David Papillon
John Hobart,44674118,John Hobart
Francis Geach,44694963,Francis Geach
Johann Philip Seip,44735249,Johann Philip Seip
Daniel Malthus,44737963,Daniel Malthus
Henry Hyde,45071137,Henry Hyde
Richard Mead,45083556,Dr Mead; Dr. Mead; Richard Mead
Pehr Wilhelm Wargentin,45083732,Pehr Wilhelm Wargentin
Jesse Ramsden,45086729,Jesse Ramsden
Edward Wortley Montagu,45107306,Edward Wortley Montagu; Edward Montagu
John Craig,45236081,Johanne Craig; John Craig
Edward Chamberlayne,45368351,Edward Chamberlayne
Charles Scarburgh,45706352,Charles Scarburgh; Mr. Scarburgh; Sr . Charles Scarburgh
Soranzo,,Soranzo; Soranzos
John Mapletoft,45717380,John Mapletoft
Edward Southwell,45763258,Edward Southwell
Andrew Tooke,45908274,Andrew Tooke
Elihu Yale,46310522,Elihu Yale; Governr Yale; Governr. Yale; Yale; Mr Yale; Mr. Yale; Mr. Yales
Henry Bilson-Legge,46322679,Henry Bilson-Legge
James West,46572341,James West
Gilbert Talbot,46595267,Gilbert Talbot
Charles Joye,46627653,Charles Joye
Charles Bernard,46664586,Charles Bernard
Jean embert,46756283,Jean le Rond d'Alembert
Samuel Sorbiere,46767474,Samuel Sorbiere
James Drake,46770231,James Drake
Francis Drake,46770352,Francis Drake; Drake; Fran. Drake
Thomas Gale,46783945,Thomas Gale
Guy agon,46795488,Guy-Crescent Fagon
John Somers,46796537,John Somers
William Nicholson,46848150,Bp Nicholson; Bsp of Carlisle; Bp of Carlile; Bp. Carlile; William Nicolson
Celestino Galiani,46849116,Celestino Galiani
Edward Stillingfleet,46849163,Edward Stillingfleet
Francesco Bianchini,46856107,Francesco Bianchini; Francisco Blanchino
Louis Bourget,46887859,Louis Bourget
George II,46902352,George II; Prince George
John Covel,46920668,Dr Covell; Dr. Covell; Dr. Covell.; John Covel
Peter Camper,46924807,Peter Camper
Thomas Lagny,47001072,Thomas Fantet de Lagny
Jacob Christian Schaffer,47016953,Jacob Christian Schaffer
Sr Peter Lely,47033545,Sr Peter Lely; Sr. Peter Lely
Mr usseau,47036535,Mr. James Rousseau
Louis Godin,47038188,Louis Godin
John Floyer,47109526,John Floyer
Edmund Waller,47109686,Edmund Waller
James Price,47111010,James Price
Barlow,47113434,Barlow
John Thomas Woolhouse,47114781,John Thomas Woolhouse; Mr Woolhouse; Mr. Woolhouse
Jean Baptiste Bassand,47153631,Jean Baptiste Bassand
Alexander Pitfeild,47160055,Alexander Pitfeild
George Parker,47163247,George Parker
Jean Morand,47544099,Jean Francois Clement Morand
James Bowdoin,47563076,James Bowdoin
Richard Rawlinson,47563478,Richard Rawlinson
Paul Gottlieb Werlhof,47563552,Paul Gottlieb Werlhof
Herbert Mackworth,47595361,Herbert Mackworth
Mark Catesby,47612282,Mark Catesby; Mr Catesby; Mr. Catesby
Martin Martin,47629722,Martin Martin
James Salter,47666697,James Salter; Mr. Salter
James Caulfeild,47674362,James Caulfeild
Dethlevus Cluverus,47812330,Dethlevus Cluverus
Swithin Adee,48177074,Swithin Adee
Thomas Sheridan,48180896,Thomas Sheridan
Dr Crow,,Dr. Crow
Cornelius Vermuyden,48206747,Cornelius Vermuyden
Charles Delafaye,48207292,Charles Delafaye
Francis Nicholson,48221764,Coll. Nicholson; Francis Nicholson
Gilbert Heathcote,48246577,Gilbert Heathcote; Mr Heathcote; Mr. Heathcote
Joseph Cervi,48580582,Joseph Cervi
James Lowther,48790214,James Lowther
Judith Drake,49087716,Judith Drake
Matthew Hutton,49120647,Dr Hutton; Dr. Hutton
Thomas Pitt,49145008,Mr. Pitt; Mr Pitt
Adam Smith,49231791,Adam Smith
Antonio Francesco Gori,49234805,Antonio Francesco Gori
Albrecht von Haller,49234879,Albrecht von Haller
John Bellers,49256594,John Bellers
Adrianus van Royen,49257108,Adrianus van Royen
Christopher Michael Wren,49261635,Christopher Michael Wren; Christopher Wren
Johann Weikhard Valvasor,49262010,Johann Weikhard; Johann Weikhard Valvasor
Nicolas Mercator,49303208,Nicolai Mercatoris; Nicolas Mercator
Johann Jakob Scheuchzer,49308476,Jean Jacques Scheuchzer; Johanne Jacobo Scheuchzero; Mr Jo. Scheuchzer; Mr. Jo. Scheuchzer; Johann Jakob Scheuchzer
Alexis Claude Clairaut,49309588,Alexis Claude Clairaut
Kenelm Digby,49357645,Kenelm Digby
Jean De Fontaney,,Fa. Fontenay; father Fontenay; Father Fontenay; Father Fontenay; Father Fontaney; Jean De Fontaney; P. J. de Fontaney
Joseph Raulin,49516437,Joseph Raulin
Francis Glisson,49518541,Franc. Glissonio; Francis Glisson
William Borlase,49563269,William Borlase
Anthony Ellys,49564329,Anthony Ellys
Thomas Flatman,49570720,Thomas Flatman
Peter Anthony Motteux,49572077,Peter Anthony Motteux
William Dawes,49573088,William Dawes
Arthur Dobbs,49578259,Arthur Dobbs
Peirce Dod,49621697,Dr Dodd; Dr. Dodd; Peirce Dod
Giovanni Poleni,50023446,Giovanni Poleni
Richard Farmer,50024557,Richard Farmer
D Woodward,50037252,Dr Woodward; Dr Woodwd; Dr. Woodwd; Dr. Woodward; Dr Woodwards; Dr. Woodwards; Dr. Woodwards; John Woodward; D Woodward; D. Woodward; Woodward; Woodwards
Peter Canvane,50071123,Peter Canvane
Giuseppe Campani,,Giuseppe Campani; Signor Campani; Campani
Ralph Thoresby,50151830,Mr. Thoresby; Ralph Thoresby
Emanuel nig,50153775,Emanuel König
Henry Compton,50170505,Henry Compton
William Wagstaffe,50171862,William Wagstaffe
John Mortimer,50338444,John Mortimer
William Battie,50339760,William Battie
Anthony Horneck,50449886,Anthony Horneck
Henry Mordaunt,50645901,Henry Mordaunt
James Short,50726614,James Short
Thomas Molyneux,50756810,Thomas Molyneux
Kingsmill Lucy,51529264,Kingsmill Lucy
Littleton Brown,51542802,Littleton Brown
Charles Lennox,51680456,Charles Lennox
Vesalius,51696979,Vesalius
Johann Formey,51703551,Johann Heinrich Samuel Formey
Charles Le Roy,51717094,Charles Le Roy
Francis Joseph Hunauld,51722094,Francis Joseph Hunauld
William Derham,51739997,William Derham
Louis de Beaufort,51741908,Louis de Beaufort
Louis de Jaucourt,51744988,Louis de Jaucourt
Jean Bernoulli,51754496,Jean Bernoulli; Johanne Barnoullo
Robert Southwell,51758315,Mr Southwell; Mr. Southwell; Robert Southwel
Robert Whytt,51767169,Robert Whytt
Francis Hauksbee,51774140,Francis Hauksbee; Mr. Hawksbee
William Cullen,51806836,William Cullen
Frederic Lewis Norden,51873515,Frederic Lewis Norden
Theodore Tronchin,52000852,Theodore Tronchin
Johann Sigismund Elsholtz,52030666,Johann Sigismund Elsholtz; Dr. Elsholt
Jean de Labadie,66600027,Labadie
John Northleigh,52038644,John Northleigh
Edward Montagu,52040052,Edward Montagu
Richard Brocklesby,52051761,Richard Brocklesby
Samuel Dwight,52087210,Samuel Dwight
Thomas Brand,,Thomas Brand
Thomas Harward,52125510,Thomas Harward
Jacques Allonville,52473338,Jacques Eugene d' Allonville
Henri Pitot,52473514,Henri Pitot
Nicolas Duillier,52480802,Nicolas Fatio de Duillier
John Byrom,52488399,John Byrom
John Groenveldt,52494176,Dr. Groenvelt; John Groenveldt
James Thornhill,52498259,James Thornhill
Giovanni Giacomo Zamboni,52500576,Giovanni Giacomo Zamboni
Henri Beauval,52523340,Henri Basnage de Beauval
Eric Burman,52539912,E. J. Burman; Eric Burman
Marcantonio Borghese,52568365,Marcantonio Borghese
Johann Karl Wilcke,52591252,Johann Karl Wilcke
Robert Sibbald,52626362,Robert Sibbald; St. Rob. Sibbald; Sr. Robert. Sibbald
John Birkenhead,52890109,John Birkenhead
James Compton,53109445,James Compton
William Gould,53130377,William Gould
Thomas Henshaw,53130543,Thomas Henshaw
Robert Hunter Morris,53152838,Robert Hunter Morris
JohnFul,53334571,John Fuller Sr.; Mr Fuller; Mr. Fuller
Fletcher Norton,53476956,Fletcher Norton
Charles Oliphant,53719286,Charles Oliphant
John Bagford,53999086,John Bagford; Mr. Bagford; Bagford
LordCav,54003324,Lord James Cavendish
William Holmes,54014309,William Holmes
John Sutherland,54024146,John Sutherland
Gregory Sharpe,54136724,Gregory Sharpe
Matthew Maty,54137049,Matthew Maty; Dr. Maty
Albert Durer,54146999,Albert Durer; Albert- Durer
Jean Charles Folard,54147648,Jean Charles Folard
Charles Bonnet,54156589,Charles Bonnet
Robert Lowth,54157151,Robert Lowth
Andrew Kippis,54179526,Andrew Kippis
ClaudBoze,54186411,Claude Gros de Boze
Giovanni Battista Doni,54194455,Giovanni Battista Doni; Jo. Battista Donius
Isaacus Vossius,54197108,Isaacus Vossius
Jeamont,54202214,Jean Baptiste Jacques Elie de Beaumont
Richard Pococke,54245430,Richard Pococke
Zachary Mayne,54270300,Zachary Mayne
PVallemont,54418791,Pierre Le Lorrain De Vallemont; De Vallemont
Bernard de Jussieu,54450638,Bernard de Jussieu
Fratta et Montalbano,54491765,Fratta et Montalbano
Richard Holland,54491997,Richard Holland
Edmund Gibson,54501262,Edmund Gibson
Thomas Hollis,54553396,Thomas Hollis
Philip Henry Zollman,54569203,Mr. Zollman; Philip Henry Zollman
Paul Jacob Marperger,54579620,Paul Jacob Marperger
Johann Christian Lehmann,54911327,Johann Christian Lehmann
Andreas Elias Buchner,54916062,Andreas Elias Buchner
Giuseppe Monti,54929912,Giuseppe Monti
Henry Herbert,55062436,Henry Herbert
Ridolfino Venuti,55210218,Ridolfino Venuti
William Howard,55261332,William Howard
Henry Newton,55282183,Henry Newton
Jacques Daviel,55374361,Jacques Daviel
Catherine Conduit,55566763,Catherine Conduit
Charles Goodall,55570282,Charles Goodall
Thomas Burnett,55604015,Thomas Burnett
John Parker,56035211,John Parker
Thomas Clutterbuck,56142625,Thomas Clutterbuck
John Misaubin,56355512,John Misaubin
John Poulett,56444938,John Poulett
Benjamin Holloway,56475249,B. Holloway; Benjamin Holloway
Albell,56483497,Alexander Hume-Campbell
George Stinton,56486309,George Stinton
Elizabeth Cavendish,56502526,Elizabeth Cavendish
Edward Augustus,56599724,Edward Augustus
Benjamin Franklin,56609913,Benjamin Franklin; Mr. Franklin; Mr Franklyn; Mr Francklyn; Mr. Francklyn
John Turberville Needham,56643729,John Turberville Needham
Peter Paul Rubens,56647196,Rubens
Rossi,,Rossi's
Lorenzo Bellini,56656245,Laur. Bellini; Lorenzo Bellini
Willem Gravesande,56660281,Willem Jakob 'sGravesande
Antonio Bulifon,56662292,Antonio Bulifon
Samuel Smith,56662497,Samuel Smith
Antoine De Jussieu,56673731,Antoine De Jussieu
Daniel Rich,56687474,Daniel Rich
Jeaetius,56707902,Jean Claude Adrien Helvetius
Jacqeauval,56765783,Jacques Basnage de Beauval
Gustavus Brander,56951183,Gustavus Brander
Walter Needham,56953632,Walter Needham
John Maubray,56954975,John Maubray
Jacob Benignus Winslow,56963322,Jacob Benignus Winslow
Robert Bruce,56963658,Robert Bruce
Jacob de Stehelin,56968148,Jacob de Stehelin
Francois Xavier Bon,56972467,Francois Xavier Bon
William Samuel Powell,57017721,William Samuel Powell
Samuel Musgrave,57385885,Samuel Musgrave
Frederic de Thom,57389662,Frederic de Thom
Charles Walmesley,57395592,Charles Walmesley
Lorenz Natter,57409981,Lorenz Natter
John Collins,57417862,John Collins
Smart Lethieullier,57510406,Mr Lethillier; Smart Lethieullier; Smart Lethieullier Esqr
William Lethieullier,,Colonel William Lethillier; Colonel William Lethieullier; William Lethieullier; Colonel Lethieuller's; Colonel Lethieullier's; Colonel Lethieulliers
Pitt Lethieullier,,Pitt Lethillier; Pitt Lethieullier Esqr
Renatus Franciscus Slusius,57760529,Renatus Franciscus Slusius
Charles Maitland,58035147,Charles Maitland; Mr Maitland; Mr. Maitland
Ralph Montagu,58051139,Ralph Montagu
Richard Willis,58057709,Richard Willis
Samuel Greig,58179201,Samuel Greig
Clifton Wintringham,58246776,Clifton Wintringham
Johnr.,58262964,John Fuller; John Fuller Jr.
Thomas Clarke,58638726,Thomas Clarke
Joseph Champion,58641025,Joseph Champion
Topham Beauclerk,58976519,Topham Beauclerk
Dbons,58979508,Dr. Gibbons
Godfrey Webster,59029748,Godfrey Webster
Winston Churchill,59072359,Winston Churchill
Joseph de Seytres,59080159,Joseph de Seytres
Jorge Santacilia,59092440,Jorge Juan-y-Santacilia
Justus van Effen,59111432,Justus van Effen
Henry Stebbing,59121544,Henry Stebbing
Robert Adam,59122607,Robert Adam
Charles Camus,59127125,Charles-Etienne-Louis Camus
Rene Reaumur,59144347,Mr. Reaumur; Mr. Reaumar; Rene-Antoine Ferchault de Reaumur
PeHalde,59162005,Pere Jean Baptiste Du Halde
Thomas Shaw,59217869,Thomas Shaw
John Boyle,59301698,John Boyle
Duke of Bourbon,59381568,Duke of Bourbon; Duke of Bourbons
Duke of Buckingham,76491060,Duke of Buckingham
Duke of Cumberland,57457152,Duke of Cumberland; D. of Cumberland; William_Augustus
George Forster,59389169,George Forster
Samuel Dale,59426220,Mr Dale; Samuel Dale
Ludovicus a Ripa,59431210,Ludovicus a Ripa
John Chamberlayne,59432695,John Chamberlayne
Franz Kiggelaer,59439025,Franz Kiggelaer
William Reading,59444336,William Reading
John Ranby,59484380,John Ranby; Mr Ranby; Mr. Ranby
Fettiplace Bellers,59493441,Fettiplace Bellers
Johann Heinrich Winkler,59865300,Johann Heinrich Winkler
John Sibthorp,59866301,John Sibthorp
Johannes von Muralt,59876646,Johannes von Muralt; Mr Muraltus
Gasparo Cerati,59910506,Gasparo Cerati
Gowin Knight,59935220,Gowin Knight
Frere Jaques,,Frere Jaques
Valerius Bellus,59973189,Valerius Bellus
Otto Sperling,59989592,Otto Sperling
Nicoancourt,60004252,Nicolas Fremont dâ€™Ablancourt
Hugh Percy,60015287,Hugh Percy
Anthony Askew,60017882,Anthony Askew
James Waldegrave,60023454,James Waldegrave
Francis Child,60498491,Francis Child
Xaverius Manetti,61102864,Xaverius Manetti
George Montagu,61108132,George Montagu
Thomas Cartwright,61181686,Thomas Cartwright
Lord Burlington,61395521,Richard Boyle; Lord Burlington
Alexander Torriano,61421006,Alexander Torriano
John Williams,61441922,John Williams
Kenneth Mackenzie,61496095,Kenneth Mackenzie
Abraham Trembley,61534739,Abraham Trembley
Mr Seguier,61535454,Mr Seguier; Mr. Seguier; Mr. Seguiver
Henry St John,61539796,Henry St John
Pierre Bayle,61554695,Monsieur Bayle; Pierre Bayle
Herman Boerhaave,61555409,Herman Boerhaave
Scipione Maffei,61555466,Scipione Maffei
Humfrey Wanley,61580649,Humfrey Wanley; Wanley
Antoine Argenville,61618191,Antoine Joseph Degallier D' Argenville
Hervey Redmond Morres,61625622,Hervey Redmond Morres
