Person Name,VIAF ID,Aliases
Francis Fauquier,5298954,Francis Fauquier
Zabdiel Boylston,5325507,Dr. Boylston; Zabdiel Boylston; Zabdiel Boylstone
Jacob Bobart,5362067,Jacob Bobart
Johann Georg Keyssler,5362235,Johann Georg Keyssler
William Brownrigg,5735749,Dr Brownrigg; Dr. Brownrigg; William Brownrigg
Francis Bernard,5842045,Francis Bernard
Johann Amman,5861609,Dr Aman; Dr Amann; Dr. Amann; Dr. Aman; Dr. Amman
Joseph Wasse,5863902,Joseph Wasse; Mr. Wasse
John Partridge,5874981,John Partridge
David Gregory,6014298,Davide Gregorio; David Gregory; Dr. Gregory
William Wentworth,6167427,William Wentworth
John Mitchell,6215669,John Mitchell
William Lewis,6273611,William Lewis
Sr. John Colbatch,6276752,Sr. John Colbatch
Robert Honywood,6352134,Robert Honywood
John Anstis,6352962,John Anstis
Thomas Green,6353924,Thomas Green
Robert Erskine,6363145,Robert Erskine
Bernard Lens II,6374073,Lens
John Philipps,6387970,John Philipps
William Dobson,6410027,Dobson; William Dobson
Patrick Gordon,6469121,
Charles Beauclerk,6800965,Charles Beauclerk
Jerome de Salis,6948619,Jerome de Salis
Hew Dalrymple,6953888,Hew Dalrymple
Thomas Bower,7241919,Thomas Bower
Richard Blacow,7244833,Richard Blacow
John Cheshire,7246209,John Cheshire
William Graeme,7248600,William Graeme
Vendramino Bianchi,7261692,Vendramino Bianchi
John Montagu,7263930,John Montagu
John Hadley,7326235,John Hadley
William Brereton,7341469,William Brereton
Giuseppe Averani,7380094,Giuseppe Averani
Michel Agnola Giacomelli,7381185,Michel Agnola Giacomelli
Archibald Hutcheson,7400805,Archibald Hutcheson
Lazzaro Spallanzani,7405452,Lazzaro Spallanzani
Gerardus Vossius,7415128,Gerardus Vossius; Dr. Vossius
Moses Williams,7423980,Moses Williams
Louis Vergne,7425031,Louis Elizabeth de la Vergne
Christian Wolff,7425989,Christian Wolff
Ernst Christoph Manteuffel,12436124,Ernst Christoph Manteuffel
Thomas Pennant,7426596,Thomas Pennant
Francois Quesnay,7428836,Francois Quesnay
Germain Boffrand,7440183,Germain Boffrand
Edme Mariotte,7453054,Monsieur Mariotte; Edme Mariotte
Della Bella,7502835,Della Bella; Della Bellas
Samuel Chandler,7546811,Samuel Chandler
William Cadogan,7725325,William Cadogan
James Burrow,7731668,James Burrow
Edward Wetenhall,7732694,Edward Wetenhall
Nathaniel Henshaw,7736875,Nathaniel Henshaw
Anthony Keck,7737032,Anthony Keck
Samuel Woodford,7820717,Samuel Woodford
Thomas Coke,8145335,Thomas Coke
Pietro Paolo Molinelli,8157223,Pietro Paolo Molinelli
Joannes Heucher,8167410,Johann Heinrich Heucher; Joannes Henricus de Heucher
Adriaen Brouwer,8181420,Brower
William von Schroder,8183900,William Schroter; William von Schroder; monsr. Schroter
